benchmark_id,difficulty,discrimination,is_anchor,is_reference,n_cells
adversarial_nli_external,-1.0783353086508982,0.7363412028270553,False,False,15
aider_polyglot_external,0.84146588402312,2.1258144228564513,False,False,72
apex_agents_external,2.374842619242922,1.1935237975270663,False,False,55
arc_agi_2_external,2.12713803529481,3.793176282343604,False,False,172
arc_agi_external,1.4531470800905595,2.8486914315033918,False,False,188
arc_ai2_external,-2.0732529061749028,1.0187869964297231,True,False,134
balrog_external,1.8838361936118004,0.7208879376455614,False,False,36
bbh_external,-1.5593220226586608,0.9534730351456457,False,False,88
blueprint_bench_2_external,2.838113834627091,4.0525931787349725,False,False,21
bool_q_external,-4.197347917011916,0.5824436730143651,False,False,136
btf3_external,5.736464676305123,0.5694482750378702,False,False,9
cad_eval_external,0.9060421525240197,1.2835841302704645,False,False,15
chess_puzzles,2.71785616772822,1.3701218080858193,False,False,153
cl_bench_external,4.563702782825311,0.5186359204699988,False,False,23
cl_bench_life_external,4.355389696108661,0.7637823874055003,False,False,17
common_sense_qa_2_external,-1.7267177417253858,0.6430139818324159,False,False,6
critpt_external,2.9141703625296556,2.5735191901699457,False,False,139
cursorbench_external,1.9436777843212432,0.9902190459153608,False,False,31
cybench_external,1.3993418268402462,1.710256679367405,False,False,22
deepresearchbench_external,2.0694399174901,0.3582566127190585,False,False,36
deepswe_external,2.2552884364075028,2.2279186080387885,False,False,50
enigma_eval_external,3.095884046298879,1.6029046255940447,False,False,46
forecastbench_external,-2.7478540863569,0.10027259141640343,False,False,75
frontiercode_external,2.8469398629914386,1.1867266042484568,False,False,20
frontiermath,2.1875479713921124,2.405012521321492,False,False,101
frontiermath_tier_4,2.5065501419695653,3.470368920964571,False,False,72
gbaeval_external,2.5800795674997685,7.83653374305482,False,False,23
gdp_pdf_external,3.9203453142204885,0.9095903171230022,False,False,21
gdpval_external,2.237634866763021,0.7965068938043464,False,False,11
gpqa_diamond,0.0,1.0,True,True,255
gsm8k_external,-1.469599690711546,2.281997492785437,True,False,170
gso_external,2.6820474808327823,1.9015928854365123,False,False,38
hella_swag_external,-4.247276710718922,0.49196757427158255,True,False,113
hle_external,2.763427666942365,1.2366301628596563,False,False,51
lambada_external,-5.367565210606617,0.2895347888242779,False,False,53
live_bench_external,0.07980630924768044,1.037406468701303,False,False,54
math_level_5,-0.039270530150280036,2.34826176091624,True,False,108
metr_time_horizons_external,0.46014281856291234,0.6551472793251012,True,False,50
mindcube_external,0.6982678885170485,0.3540045496688063,False,False,5
mmlu_external,-1.8718599726638367,0.9220972918093625,True,False,217
mystery_game_puzzles,3.0154200535149833,0.9848090172331633,False,False,47
open_book_qa_external,-2.1998452158668607,0.9557969423456132,False,False,70
os_world_external,1.5196733626346237,1.139366212509778,False,False,20
osworld_2_external,3.360509337775606,1.7683667152975373,False,False,10
otis_mock_aime_2024_2025,0.9025084787563061,2.655934328736039,True,False,230
piqa_external,-7.080170511208801,0.26810603664390564,False,False,113
posttrainbench_external,3.449599633905652,0.9778631696230191,False,False,35
proofbench_external,2.3945563841907176,2.5517083360716324,False,False,52
rli_external,4.191296519059392,1.5646762511142316,False,False,12
scicode_external,2.0041577735332883,0.48051980098611946,False,False,129
science_qa_external,-2.2220643624675604,0.9023188977485325,False,False,26
simplebench_external,1.4804804158201204,0.8410395330843996,False,False,91
simpleqa_verified,2.2142642539576642,1.0999516210117155,False,False,71
spatialviz_bench_external,2.7199086918236794,0.23453314146957274,False,False,8
superglue_external,-2.6751966813917814,1.1086442349416632,False,False,10
surface_evolver_bench_external,1.4732667497507281,1.7903768777490516,False,False,24
swe_bench_verified,0.3904421451436672,0.7294549585675119,False,False,35
terminalbench_external,1.74969252843782,1.5926189849489947,False,False,202
the_agent_company_external,1.2482642736279492,2.3961129495190323,False,False,16
trivia_qa_external,-3.7809663368906077,0.46532533845060864,False,False,115
video_mme_external,-1.8980895341548445,0.41765832732182023,False,False,50
vpct_external,1.3478973580890488,0.9119773065034165,False,False,38
weirdml_external,1.3251922726979206,1.1365490750603735,True,False,163
wino_grande_external,-4.3254059735966,0.376476650316969,True,False,137
